card1,card2,archetype,weight
Force of Will,Psychic Frog,Reanimator,1
Force of Will,Psychic Frog,Dimir Tempo,1
Force of Will,Psychic Frog,Delver,1
Force of Will,Psychic Frog,Worldgorger Dragon Combo,1
Force of Will,Psychic Frog,Doomsday,1
Psychic Frog,Wasteland,Dimir Tempo,1
Psychic Frog,Wasteland,Delver,1
Psychic Frog,Wasteland,Reanimator,0.8543773201954362
Psychic Frog,Reanimate,Reanimator,1
Psychic Frog,Reanimate,Dimir Tempo,0.7076384222352329
Psychic Frog,Undercity Sewers,Reanimator,0.7169426103915253
Psychic Frog,Undercity Sewers,Dimir Tempo,0.6460160066870647
Psychic Frog,Undercity Sewers,Delver,0.6460160066870647
Psychic Frog,Undercity Sewers,Worldgorger Dragon Combo,0.6460160066870647
Psychic Frog,Undercity Sewers,Doomsday,0.6460160066870647
Archon of Cruelty,Psychic Frog,Reanimator,0.6456949507740914
Polluted Delta,Psychic Frog,Reanimator,1
Polluted Delta,Psychic Frog,Dimir Tempo,1
Polluted Delta,Psychic Frog,Delver,1
Polluted Delta,Psychic Frog,Worldgorger Dragon Combo,1
Polluted Delta,Psychic Frog,Doomsday,1
Island,Psychic Frog,Dimir Tempo,0.6460160066870647
Island,Psychic Frog,Delver,0.6460160066870647
Island,Psychic Frog,Worldgorger Dragon Combo,0.6460160066870647
Island,Psychic Frog,Doomsday,0.6460160066870647
Island,Psychic Frog,Reanimator,0.6456812134719886
Brazen Borrower,Psychic Frog,Reanimator,0.6917202143624199
Brazen Borrower,Psychic Frog,Dimir Tempo,0.6567880238741154
Brazen Borrower,Psychic Frog,Delver,0.6460160066870647
Psychic Frog,Thoughtseize,Delver,0.8947808320300904
Psychic Frog,Thoughtseize,Reanimator,0.8870793702582148
Psychic Frog,Thoughtseize,Dimir Tempo,0.8751400483621746
Psychic Frog,Thoughtseize,Worldgorger Dragon Combo,0.6460160066870647
Psychic Frog,Thoughtseize,Doomsday,0.6460160066870647
Entomb,Psychic Frog,Reanimator,1
Entomb,Psychic Frog,Worldgorger Dragon Combo,1
Flooded Strand,Psychic Frog,Delver,0.7771829163039172
Flooded Strand,Psychic Frog,Reanimator,0.6874720732280282
Flooded Strand,Psychic Frog,Dimir Tempo,0.6577571627691016
Flooded Strand,Psychic Frog,Worldgorger Dragon Combo,0.6460160066870647
Fatal Push,Psychic Frog,Dimir Tempo,1
Fatal Push,Psychic Frog,Delver,1
Fatal Push,Psychic Frog,Reanimator,0.824075095193791
Fatal Push,Psychic Frog,Worldgorger Dragon Combo,0.7771829163039172
Fatal Push,Psychic Frog,Doomsday,0.7771829163039172
Daze,Psychic Frog,Delver,1
Daze,Psychic Frog,Doomsday,1
Daze,Psychic Frog,Dimir Tempo,0.9916016258745438
Daze,Psychic Frog,Reanimator,0.9083258273168113
Daze,Psychic Frog,Worldgorger Dragon Combo,0.8947808320300904
Brainstorm,Psychic Frog,Reanimator,1
Brainstorm,Psychic Frog,Dimir Tempo,1
Brainstorm,Psychic Frog,Delver,1
Brainstorm,Psychic Frog,Worldgorger Dragon Combo,1
Brainstorm,Psychic Frog,Doomsday,1
Psychic Frog,Underground Sea,Dimir Tempo,1
Psychic Frog,Underground Sea,Delver,1
Psychic Frog,Underground Sea,Worldgorger Dragon Combo,1
Psychic Frog,Underground Sea,Doomsday,1
Psychic Frog,Underground Sea,Reanimator,0.9873766782775025
Animate Dead,Psychic Frog,Worldgorger Dragon Combo,1
Animate Dead,Psychic Frog,Reanimator,0.8701877422649551
"Atraxa, Grand Unifier",Psychic Frog,Worldgorger Dragon Combo,0.6460160066870647
"Atraxa, Grand Unifier",Psychic Frog,Reanimator,0.6456949507740914
Psychic Frog,Scalding Tarn,Delver,0.7771829163039172
Psychic Frog,Scalding Tarn,Doomsday,0.7771829163039172
Psychic Frog,Scalding Tarn,Reanimator,0.6826832360555876
Psychic Frog,Scalding Tarn,Dimir Tempo,0.6460160066870647
Psychic Frog,Scalding Tarn,Worldgorger Dragon Combo,0.6460160066870647
Misty Rainforest,Psychic Frog,Doomsday,0.7771829163039172
Misty Rainforest,Psychic Frog,Dimir Tempo,0.7266162653896022
Misty Rainforest,Psychic Frog,Reanimator,0.7166707530899438
Misty Rainforest,Psychic Frog,Worldgorger Dragon Combo,0.6460160066870647
Psychic Frog,Swamp,Dimir Tempo,0.6460160066870647
Psychic Frog,Swamp,Delver,0.6460160066870647
Psychic Frog,Swamp,Worldgorger Dragon Combo,0.6460160066870647
Psychic Frog,Swamp,Doomsday,0.6460160066870647
Psychic Frog,Swamp,Reanimator,0.6456812134719886
Psychic Frog,Troll of Khazad-dûm,Reanimator,1
Psychic Frog,Troll of Khazad-dûm,Dimir Tempo,0.8947808320300904
Psychic Frog,Troll of Khazad-dûm,Worldgorger Dragon Combo,0.7771829163039172
Force of Will,Wasteland,Standstill,1
Force of Will,Wasteland,Mono-Blue Tempo,1
Force of Will,Wasteland,Grixis Tempo,1
Force of Will,Wasteland,Vial,1
Force of Will,Wasteland,Cascade,1
Force of Will,Wasteland,Jeskai Tempo,1
Force of Will,Wasteland,Stoneblade,1
Force of Will,Wasteland,Death's Shadow,1
Force of Will,Wasteland,Ocelot Pride Tempo,1
Force of Will,Wasteland,Esper Control,1
Force of Will,Wasteland,Azorius Control,1
Force of Will,Wasteland,Dimir Tempo,0.9986206027815216
Force of Will,Wasteland,Delver,0.997626103255217
Force of Will,Wasteland,Stiflenought,0.9946710414761195
Force of Will,Wasteland,Esper Tempo,0.9618847235549609
Force of Will,Wasteland,Beanstalk Control (Non-Yorion),0.9488416446220167
Force of Will,Wasteland,Reanimator,0.9064917612716598
Force of Will,Wasteland,Beanstalk Control (Yorion),0.8624125417008582
Force of Will,Reanimate,Reanimator,1
Force of Will,Reanimate,Beanstalk Control (Non-Yorion),1
Force of Will,Reanimate,Delver,1
Force of Will,Reanimate,Esper Tempo,0.8947808320300904
Force of Will,Reanimate,Dimir Tempo,0.7076384222352329
Force of Will,Reanimate,Grixis Tempo,0.6460160066870647
Force of Will,Reanimate,Doomsday,0.6460160066870647
Force of Will,Undercity Sewers,Reanimator,0.6954084373240667
Force of Will,Undercity Sewers,Doomsday,0.6487282341511256
Force of Will,Undercity Sewers,Dimir Tempo,0.6477767543301955
Force of Will,Undercity Sewers,Coveted Jewel Combo,0.6460160066870647
Force of Will,Undercity Sewers,Delver,0.6460160066870647
Force of Will,Undercity Sewers,Worldgorger Dragon Combo,0.6460160066870647
Force of Will,Undercity Sewers,Grixis Tempo,0.6460160066870647
Force of Will,Undercity Sewers,Grixis Control,0.6460160066870647
Force of Will,Undercity Sewers,Ninjas,0.6460160066870647
Force of Will,Undercity Sewers,Aluren,0.6460160066870647
Force of Will,Undercity Sewers,Omni-Tell,0.6460160066870647
Force of Will,Undercity Sewers,Esper Tempo,0.6460160066870647
