card1,card2,archetype,weight
Anoint with Affliction,Spell Stutter,Dimir Midrange,0.486873303954325
Anoint with Affliction,Tishana's Tidebinder,Dimir Midrange,0.42083844292786077
Anoint with Affliction,Go for the Throat,Demons,0.8947808320300904
Anoint with Affliction,Go for the Throat,Sultai Midrange,0.7771829163039172
Anoint with Affliction,Go for the Throat,Token Control,0.7771829163039172
Anoint with Affliction,Go for the Throat,Dimir Control,0.742257413806554
Anoint with Affliction,Go for the Throat,Golgari Midrange,0.7235259952996509
Anoint with Affliction,Go for the Throat,Sultai Control,0.671963725649382
Anoint with Affliction,Go for the Throat,Mono-Black Midrange,0.6139153635944657
Anoint with Affliction,Go for the Throat,Dimir Midrange,0.583950008544489
Anoint with Affliction,Go for the Throat,Grixis Control,0.5407968160325296
Anoint with Affliction,Go for the Throat,Self-Bounce,0.29203198744884235
Anoint with Affliction,"Kaito, Bane of Nightmares",Dimir Midrange,0.6230855767674756
Anoint with Affliction,"Kaito, Bane of Nightmares",Self-Bounce,0.6213950909626025
Anoint with Affliction,Soulstone Sanctuary,Mono-Black Midrange,0.7769396153675263
Anoint with Affliction,Soulstone Sanctuary,Dimir Midrange,0.5434870393958441
Anoint with Affliction,Soulstone Sanctuary,Golgari Midrange,0.4984939488597396
Anoint with Affliction,Underground River,Demons,0.8947808320300904
Anoint with Affliction,Underground River,Dimir Control,0.8371906560604608
Anoint with Affliction,Underground River,Sultai Control,0.7771829163039172
Anoint with Affliction,Underground River,Dimir Midrange,0.6928826051060901
Anoint with Affliction,Underground River,Self-Bounce,0.6213950909626025
Anoint with Affliction,Underground River,Sultai Midrange,0.42319889706569536
Anoint with Affliction,Spyglass Siren,Dimir Midrange,0.6907515629170508
Anoint with Affliction,Faerie Mastermind,Demons,0.8947808320300904
Anoint with Affliction,Faerie Mastermind,Dimir Midrange,0.6338439761355553
Anoint with Affliction,Cut Down,Sultai Control,0.7771829163039172
Anoint with Affliction,Cut Down,Dimir Control,0.6742333479030058
Anoint with Affliction,Cut Down,Sultai Midrange,0.671963725649382
Anoint with Affliction,Cut Down,Token Control,0.671963725649382
Anoint with Affliction,Cut Down,Mono-Black Midrange,0.6715486880901406
Anoint with Affliction,Cut Down,Golgari Midrange,0.6557338728517417
Anoint with Affliction,Cut Down,Dimir Midrange,0.6329177069324328
Anoint with Affliction,Cut Down,Demons,0.5407968160325296
Anoint with Affliction,Island,Dimir Control,0.7771829163039172
Anoint with Affliction,Island,Dimir Midrange,0.6879062219677126
Anoint with Affliction,Island,Sultai Midrange,0.42319889706569536
Anoint with Affliction,Island,Domain,0.4227617834769495
Anoint with Affliction,Darkslick Shores,Demons,0.7895616446162155
Anoint with Affliction,Darkslick Shores,Dimir Control,0.7847765980198409
Anoint with Affliction,Darkslick Shores,Self-Bounce,0.7266162653896022
Anoint with Affliction,Darkslick Shores,Dimir Midrange,0.6933483102227678
Anoint with Affliction,Darkslick Shores,Sultai Control,0.671963725649382
Anoint with Affliction,Darkslick Shores,Sultai Midrange,0.5543658066825486
Anoint with Affliction,Restless Reef,Demons,0.8947808320300904
Anoint with Affliction,Restless Reef,Dimir Control,0.8254856333420975
Anoint with Affliction,Restless Reef,Sultai Control,0.7771829163039172
Anoint with Affliction,Restless Reef,Dimir Midrange,0.5071472247436443
Anoint with Affliction,Sheoldred's Edict,Sultai Control,0.7771829163039172
Anoint with Affliction,Sheoldred's Edict,Dimir Control,0.6743812875532941
Anoint with Affliction,Sheoldred's Edict,Demons,0.5407968160325296
Anoint with Affliction,Sheoldred's Edict,Mono-Black Midrange,0.4843757504531692
Anoint with Affliction,Sheoldred's Edict,Golgari Midrange,0.47565410122365637
Anoint with Affliction,Sheoldred's Edict,Dimir Midrange,0.3672555237943368
Anoint with Affliction,Gloomlake Verge,Demons,0.8947808320300904
Anoint with Affliction,Gloomlake Verge,Dimir Control,0.8254856333420975
Anoint with Affliction,Gloomlake Verge,Sultai Control,0.7771829163039172
Anoint with Affliction,Gloomlake Verge,Dimir Midrange,0.6933483102227678
Anoint with Affliction,Gloomlake Verge,Grixis Control,0.5407968160325296
Anoint with Affliction,Gloomlake Verge,Sultai Midrange,0.42319889706569536
Anoint with Affliction,Enduring Curiosity,Dimir Midrange,0.6402308339848706
Anoint with Affliction,Mockingbird,Dimir Midrange,0.36528995056548424
Anoint with Affliction,Floodpits Drowner,Dimir Midrange,0.6825397449563773
Anoint with Affliction,Swamp,Demons,0.9519379029827645
Anoint with Affliction,Swamp,Sultai Control,0.9219682098565118
Anoint with Affliction,Swamp,Dimir Control,0.9194313314647461
Anoint with Affliction,Swamp,Golgari Midrange,0.8547694570861858
Anoint with Affliction,Swamp,Mono-Black Midrange,0.7809792348336331
Anoint with Affliction,Swamp,Token Control,0.7771829163039172
Anoint with Affliction,Swamp,Dimir Midrange,0.678091307922335
Anoint with Affliction,Swamp,Domain,0.5538792061784957
Anoint with Affliction,Swamp,Sultai Midrange,0.42319889706569536
Anoint with Affliction,Swamp,Self-Bounce,0.37198875673780135
Spell Stutter,Tishana's Tidebinder,Dimir Midrange,0.5312698049553661
Go for the Throat,Spell Stutter,Faeries,0.7104665978360812
Go for the Throat,Spell Stutter,Dimir Midrange,0.7062627196346125
"Kaito, Bane of Nightmares",Spell Stutter,Dimir Midrange,0.7402954583347447
"Kaito, Bane of Nightmares",Spell Stutter,Faeries,0.6822667101712123
Soulstone Sanctuary,Spell Stutter,Faeries,0.9747176003295226
Soulstone Sanctuary,Spell Stutter,Dimir Midrange,0.6662374399592692
Spell Stutter,Underground River,Faeries,0.9747176003295226
Spell Stutter,Underground River,Dimir Midrange,0.7839261733667917
Spell Stutter,Spyglass Siren,Faeries,0.9747176003295226
Spell Stutter,Spyglass Siren,Dimir Midrange,0.7771728313645432
Faerie Mastermind,Spell Stutter,Faeries,0.9747176003295226
Faerie Mastermind,Spell Stutter,Dimir Midrange,0.7832677345053596
Cut Down,Spell Stutter,Faeries,0.751778223814675
Cut Down,Spell Stutter,Dimir Midrange,0.7091262753918439
Island,Spell Stutter,Faeries,0.9747176003295226
Island,Spell Stutter,Dimir Midrange,0.7688880319865662
Darkslick Shores,Spell Stutter,Faeries,0.9747176003295226
Darkslick Shores,Spell Stutter,Dimir Midrange,0.7853312374445017
Restless Reef,Spell Stutter,Faeries,0.6711408980914791
Restless Reef,Spell Stutter,Dimir Midrange,0.606134431576574
Sheoldred's Edict,Spell Stutter,Faeries,0.6460160066870647
Sheoldred's Edict,Spell Stutter,Dimir Midrange,0.44720047279582703
