card1,card2,archetype,weight
Grim Monolith,"Karn, the Great Creator",Mystic Forge Combo,1
Grim Monolith,"Karn, the Great Creator",Green Cloudpost,1
Grim Monolith,"Karn, the Great Creator",Painter,1
Grim Monolith,"Karn, the Great Creator",Eldrazi,0.98664347331248
Grim Monolith,Kozilek's Command,Mystic Forge Combo,1
Grim Monolith,Kozilek's Command,Green Cloudpost,1
Grim Monolith,Kozilek's Command,Eldrazi,1
Grim Monolith,Kozilek's Command,Painter,1
Basalt Monolith,Grim Monolith,Painter,0.9711749008703954
Basalt Monolith,Grim Monolith,Mystic Forge Combo,0.8736142069228404
Grim Monolith,Pithing Needle,Painter,0.8072675274936902
Grim Monolith,Pithing Needle,Mystic Forge Combo,0.8070228622756754
"Boseiju, Who Endures",Grim Monolith,Mystic Forge Combo,1
"Boseiju, Who Endures",Grim Monolith,Green Cloudpost,0.8396920351126752
Glaring Fleshraker,Grim Monolith,Mystic Forge Combo,1
Glaring Fleshraker,Grim Monolith,Eldrazi,1
Grim Monolith,The One Ring,Mystic Forge Combo,1
Grim Monolith,The One Ring,Coveted Jewel Combo,1
Grim Monolith,The One Ring,Green Cloudpost,1
Grim Monolith,The One Ring,Painter,1
Grim Monolith,The One Ring,Blue Artifacts,1
Grim Monolith,The One Ring,Eldrazi,0.737846167271799
Grim Monolith,Planar Nexus,Mystic Forge Combo,1
Grim Monolith,Planar Nexus,Green Cloudpost,1
Grim Monolith,Planar Nexus,Painter,1
Grim Monolith,Planar Nexus,Coveted Jewel Combo,1
Grim Monolith,Vexing Bauble,Mystic Forge Combo,1
Grim Monolith,Vexing Bauble,Coveted Jewel Combo,1
Ancient Tomb,Grim Monolith,Mystic Forge Combo,1
Ancient Tomb,Grim Monolith,Coveted Jewel Combo,1
Ancient Tomb,Grim Monolith,The EPIC Gamble,1
Ancient Tomb,Grim Monolith,Eldrazi,1
Ancient Tomb,Grim Monolith,Painter,1
Ancient Tomb,Grim Monolith,Blue Artifacts,1
Grim Monolith,Voltaic Key,Mystic Forge Combo,1
Grim Monolith,Voltaic Key,Painter,0.9711749008703954
Grim Monolith,Voltaic Key,Blue Artifacts,0.8072675274936902
Grim Monolith,Urza's Saga,Mystic Forge Combo,1
Grim Monolith,Urza's Saga,Coveted Jewel Combo,1
Grim Monolith,Urza's Saga,Painter,1
Grim Monolith,Urza's Saga,Blue Artifacts,1
Grim Monolith,Mox Opal,The EPIC Gamble,1
Grim Monolith,Mox Opal,Blue Artifacts,1
Grim Monolith,Mox Opal,Mystic Forge Combo,0.8119498630139683
Grim Monolith,Mox Opal,Coveted Jewel Combo,0.8072675274936902
Grim Monolith,Mox Opal,Painter,0.8072675274936902
Grim Monolith,Mystic Forge,Mystic Forge Combo,1
Grim Monolith,Urza's Tower,Mystic Forge Combo,1
Grim Monolith,Urza's Tower,Green Cloudpost,1
Grim Monolith,Urza's Tower,Painter,1
Grim Monolith,Urza's Tower,Coveted Jewel Combo,1
Grim Monolith,Lotus Petal,Mystic Forge Combo,1
Grim Monolith,Lotus Petal,The EPIC Gamble,1
Grim Monolith,Lotus Petal,Coveted Jewel Combo,1
Grim Monolith,Lotus Petal,Eldrazi,1
Grim Monolith,Lotus Petal,Painter,1
Grim Monolith,Lotus Petal,Blue Artifacts,1
Grim Monolith,Manifold Key,Mystic Forge Combo,1
Grim Monolith,Manifold Key,Coveted Jewel Combo,1
Grim Monolith,Manifold Key,Painter,1
Grim Monolith,Manifold Key,Blue Artifacts,0.8072675274936902
"Karn, the Great Creator",Kozilek's Command,Mystic Forge Combo,1
"Karn, the Great Creator",Kozilek's Command,Green Cloudpost,1
"Karn, the Great Creator",Kozilek's Command,Painter,1
"Karn, the Great Creator",Kozilek's Command,Eldrazi,1
"Karn, the Great Creator",Kozilek's Command,Cloudpost,0.9711749008703954
Basalt Monolith,"Karn, the Great Creator",Painter,0.9711749008703954
Basalt Monolith,"Karn, the Great Creator",Mystic Forge Combo,0.8736142069228404
"Karn, the Great Creator",Pithing Needle,Painter,0.8072675274936902
"Karn, the Great Creator",Pithing Needle,Cloudpost,0.8072675274936902
"Karn, the Great Creator",Pithing Needle,Mystic Forge Combo,0.8070228622756754
"Boseiju, Who Endures","Karn, the Great Creator",Mystic Forge Combo,1
"Boseiju, Who Endures","Karn, the Great Creator",Green Cloudpost,0.9711749008703954
Glaring Fleshraker,"Karn, the Great Creator",Mystic Forge Combo,1
Glaring Fleshraker,"Karn, the Great Creator",Eldrazi,1
"Karn, the Great Creator",The One Ring,Mystic Forge Combo,1
"Karn, the Great Creator",The One Ring,Red Stompy,1
"Karn, the Great Creator",The One Ring,Green Cloudpost,1
"Karn, the Great Creator",The One Ring,Painter,1
"Karn, the Great Creator",The One Ring,Cloudpost,1
"Karn, the Great Creator",The One Ring,Initiative,1
"Karn, the Great Creator",The One Ring,Eldrazi,0.67578466173597
"Karn, the Great Creator",The One Ring,Helm/Leyline Stompy,0.36492585015945816
"Karn, the Great Creator",Planar Nexus,Mystic Forge Combo,1
"Karn, the Great Creator",Planar Nexus,Green Cloudpost,1
"Karn, the Great Creator",Planar Nexus,Painter,1
"Karn, the Great Creator",Planar Nexus,Cloudpost,1
"Karn, the Great Creator",Vexing Bauble,Mystic Forge Combo,1
"Karn, the Great Creator",Vexing Bauble,Painter,1
