name,colors,types,price,tags
+2 Mace,['W'],['Artifact'],0.03,[]
A Girl and Her Dogs,['W'],['Creature'],,[]
A Golden Opportunity,['G'],['Enchantment'],,['card-advantage']
A Killer Among Us,['G'],['Enchantment'],0.02,['card-names']
A Little Chat,['U'],['Instant'],0.01,"['card-advantage', 'card-names']"
A Tale for the Ages,['W'],['Enchantment'],0.02,"['alliteration', 'alliteration', 'card-names']"
A-Acererak the Archlich,['B'],['Creature'],,[]
A-Akki Ronin,['R'],['Creature'],,[]
A-Alrund's Epiphany,['U'],['Sorcery'],,[]
A-Ancestral Katana,['W'],['Artifact'],,[]
A-Ardent Dustspeaker,['R'],['Creature'],,[]
A-Armory Veteran,['R'],['Creature'],,[]
A-Asari Captain,"['R', 'W']",['Creature'],,[]
A-Baleful Beholder,['B'],['Creature'],,[]
A-Base Camp,['C'],['Land'],,[]
A-Blessed Hippogriff // A-Tyr's Blessing,['W'],['Creature'],,[]
A-Blood Artist,['B'],['Creature'],,[]
A-Bretagard Stronghold,['C'],['Land'],,[]
A-Briar Hydra,['G'],['Creature'],,[]
A-Bruenor Battlehammer,"['R', 'W']",['Creature'],,[]
A-Buy Your Silence,['W'],['Instant'],,[]
A-Cabaretti Charm,"['G', 'R', 'W']",['Instant'],,[]
A-Canopy Tactician,['G'],['Creature'],,[]
A-Capenna Express,['G'],['Artifact'],,[]
A-Carnelian Orb of Dragonkind,['R'],['Artifact'],,[]
A-Case the Joint,['U'],['Sorcery'],,[]
A-Cauldron Familiar,['B'],['Creature'],,[]
A-Celebrity Fencer,['W'],['Creature'],,[]
A-Celestial Regulator,"['U', 'W']",['Creature'],,[]
A-Circle of the Land Druid,['G'],['Creature'],,[]
A-Circuit Mender,['C'],"['Artifact', 'Creature']",,[]
A-Civil Servant,"['G', 'W']",['Creature'],,[]
A-Cloister Gargoyle,['W'],"['Artifact', 'Creature']",,[]
A-Cobbled Lancer,['U'],['Creature'],,[]
A-Cosmos Charger,['U'],['Creature'],,[]
A-Cosmos Elixir,['C'],['Artifact'],,[]
A-Dawnbringer Cleric,['W'],['Creature'],,[]
A-Deal Gone Bad,['B'],['Instant'],,[]
A-Death-Priest of Myrkul,['B'],['Creature'],,[]
A-Demilich,['U'],['Creature'],,[]
A-Demon's Due,['B'],['Instant'],,[]
A-Dokuchi Silencer,['B'],['Creature'],,[]
A-Dragon's Rage Channeler,['R'],['Creature'],,[]
A-Dragonborn Looter,['U'],['Creature'],,[]
A-Dreamshackle Geist,['U'],['Creature'],,[]
