name,display_name,description,count,exclusive,ancestry,childTags
alternate-win-condition,alternate win condition,New ways for you to win the game (or cause your opponent to lose),1,0,[],[]
alternate-win-condition,alternate win condition,New ways for you to win the game (or cause your opponent to lose),1,0,[],[]
dnd-mechanic,dnd mechanic,Cards named after and representing DnD mechanics.,1,0,['dnd'],[]
ferocious,ferocious,Cards that care about you controlling creatures with power 4 or greater.,1,0,['power-matters'],[]
pillowfort,pillowfort,Cards that disincentivise or make it harder for opponents to attack you,1,0,[],[]
synergy-mill,synergy-mill,,1,0,[],[]
gains-menace,gains menace,,2,0,['evasion'],[]
land-conversion,land conversion,,2,0,['type-change'],[]
tribal-cleric,tribal-cleric,,2,0,"['typal', 'typal-creature']",[]
regrowth-enchantment,regrowth-enchantment,,3,0,"['card-advantage', 'regrowth', 'recursion', 'recursion-enchantment', 'regrowth']",[]
removal-nonland-exile,removal-nonland-exile,,3,0,"['removal', 'removal-artifact', 'removal-creature', 'removal-enchantment', 'removal-planeswalker']",[]
tribal-choose,tribal-choose,Choose a creature type with which to synergize.,3,0,"['typal', 'typal-creature']",[]
conjure-to-hand,conjure-to-hand,,4,0,[],[]
gains-deathtouch,gains deathtouch,,4,0,[],[]
sneak-creature,sneak-creature,,4,0,[],[]
pacifism,pacifism,"A form of removal that prevents a creature from attacking, and usually also from blocking and/or activating its abilities.",5,0,"['removal', 'removal-creature']",[]
synergy-sacrifice,synergy-sacrifice,,5,0,[],[]
reanimate-battle,reanimate-battle,,6,0,"['recursion', 'reanimate']",[]
synergy-arcane,synergy-arcane,,6,0,[],[]
eponymous,eponymous,Non-token cards with a name matching their subtypes.,7,0,[],[]
synergy-island,synergy-island,,7,0,[],[]
gives-reach,gives reach,,8,0,[],[]
offcolor-additional-cost,offcolor additional cost,Cards with an additional cost of mana beyond the card's own colors.,8,0,[],[]
regrowth-land,regrowth-land,,8,0,"['card-advantage', 'regrowth', 'recursion', 'recursion-land', 'regrowth']",[]
coin-flip,coin flip,,9,0,[],[]
color-change-self,color change-self,,9,0,['color-change'],[]
prevent-activation,prevent activation,,9,0,[],[]
repeated-keyword,repeated keyword,Repetition or stacking of a keyword.,9,0,[],[]
untapper-nonland,untapper-nonland,,9,0,[],[]
banish-creature,banish-creature,,10,0,"['removal', 'removal-creature', 'removal-creature-exile']",[]
banish-creature,banish-creature,,10,0,"['removal', 'removal-creature', 'removal-creature-exile']",[]
catch-up,catch up,Players who have less get more.,10,0,[],[]
tribal-vampire,tribal-vampire,,10,0,"['typal', 'typal-creature']",[]
hand-size-hate,hand size hate,,11,0,['hand-size-matters'],[]
multi-character-card,multi character card,This card represents multiple distinct identifiable characters on one face. Avoid using this for nameless mobs.,11,0,[],[]
seek,seek,,11,0,[],[]
affinity,affinity,"Affinity is an ability that reduces the mana cost of the spell by the number of permanents of a specified type that the player controls. Variations of this ability exist, such as referencing the number of cards in the players' graveyard or the number of attacking creatures. ",13,0,[],[]
affinity,affinity,"Affinity is an ability that reduces the mana cost of the spell by the number of permanents of a specified type that the player controls. Variations of this ability exist, such as referencing the number of cards in the players' graveyard or the number of attacking creatures. ",13,0,[],[]
hate-instant,hate-instant,,13,1,[],[]
leaves-battlefield-trigger-self,leaves battlefield trigger-self,,13,0,['leaves-battlefield-trigger'],[]
synergy-mountain,synergy-mountain,,13,1,[],[]
flicker-slow,flicker-slow,"Exile a card now, get it back later (usually end of turn).",14,0,[],[]
gains-vigilance,gains vigilance,,14,0,[],[]
impulse-onto-battlefield,impulse-onto-battlefield,,15,0,"['card-advantage', 'impulse', 'impulse-to-zone']",[]
passive-ability,passive ability,,15,0,[],[]
hate-green,hate-green,,16,0,['hate-color'],[]
nonbasic-basic-land-type,nonbasic-basic-land-type,,16,0,[],[]
gains-lifelink,gains lifelink,,17,0,['lifegain'],[]
alternate-cost-tap-creature,alternate-cost-tap-creature,Cards that let you tap creatures to pay less or no mana for them.,18,0,['tap-fuel-creature'],[]
alternate-cost-tap-creature,alternate-cost-tap-creature,Cards that let you tap creatures to pay less or no mana for them.,18,0,['tap-fuel-creature'],[]
gives-mana-ability,gives mana ability,,18,1,[],[]
tribal-rogue,tribal-rogue,,18,0,"['typal', 'typal-creature']",[]
synergy-swamp,synergy-swamp,,19,0,[],[]
synergy-token-creature,synergy-token-creature,,19,0,['synergy-token'],[]
card-types-in-graveyard-matter,card types in graveyard matter,,20,0,['cards-in-graveyard-matter'],[]
hate-blue,hate-blue,,20,0,['hate-color'],[]
hate-color-choose,hate-color-choose,Color hate where you choose a color to hate on.,20,0,['hate-color'],[]
lockdown-creature,lockdown-creature,,20,0,[],[]
synergy-blocker,synergy-blocker,,20,1,[],[]
extra-untap,extra untap,,21,0,[],[]
heroic,heroic,"Whenever you cast a spell targeting your permanent, something good happens.",21,0,[],[]
temporary-reanimation,temporary reanimation,,21,0,[],[]
dnd-monster,dnd monster,Cards named after and representing monsters from DnD.,22,0,['dnd'],[]
exponential,exponential,,22,0,[],[]
hatebear,hatebear,Creatures that are low-cost and have low-power/toughness with relevant effects that may disrupt an opponent's strategy. These are traditionally associated with white. ,22,1,[],[]
meme,meme,,22,1,[],[]
reanimate-planeswalker,reanimate-planeswalker,,22,0,"['recursion', 'reanimate', 'recursion-planeswalker']",[]
removal-equipment,removal-equipment,,22,0,['removal'],[]
universal-type-change,universal type change,"Cards that turn every type A into type B. Might be just one player or all, just the battlefield or not.",22,0,['type-change'],[]
wheel,wheel,,22,0,['card-advantage'],[]
synergy-flying,synergy-flying,,23,0,[],[]
non-mana-ability-mana,non mana ability mana,,24,0,[],[]
reanimate-from-any,reanimate-from-any,,24,0,"['recursion', 'reanimate', 'reanimate-from-opponent']",[]
regenerates-other,regenerates other,Cards with effects that regenerate other things (and possibly including themselves.),24,0,[],[]
bombard-self,bombard-self,Sacrifice this permanent to deal N damage. See also [fling-self](/tags/card/fling-self).,25,0,"['bombard', 'sacrifice-outlet', 'bombard']",[]
commander-set-booster-cards,commander set booster cards,,25,0,[],[]
damage-prevention-self,damage prevention-self,,25,0,[],[]
lockdown,lockdown,A permanent stays tapped. Named in the Color Pie 2017 article.,25,0,[],[]
regrowth-artifact,regrowth-artifact,,26,0,"['card-advantage', 'regrowth', 'recursion', 'recursion-artifact', 'regrowth']",[]
removal-planeswalker-destroy,removal-planeswalker-destroy,,26,0,"['removal', 'removal-planeswalker']",[]
opponent-chooses,opponent chooses,,27,0,[],[]
tribal-human,tribal-human,,27,0,"['typal', 'typal-creature']",[]
flicker-creature,flicker-creature,,28,0,[],[]
hate-high-pt,hate-high-pt,"Cards that specifically hate on cards with high power or toughness, typically at least 3-4.",28,0,[],[]
tapper-land,tapper-land,,28,0,[],[]
enrage,enrage,,29,0,[],[]
fog,fog,"Effects that can prevent all or most of the damage from an entire combat, similar to the card Fog.",29,1,[],[]
impulse-to-zone,impulse-to-zone,,29,0,"['card-advantage', 'impulse']",['impulse-onto-battlefield']
burn-player-each,burn player-each,,30,0,['burn-player'],[]
reanimate-enchantment,reanimate-enchantment,,30,0,"['recursion', 'reanimate', 'recursion-enchantment']",[]
removal-aura,removal-aura,,30,0,['removal'],[]
recursion-permanent,recursion-permanent,,31,0,['recursion'],[]
undergrowth,undergrowth,Cards that care about the number of creature cards in your graveyard.,31,0,['cards-in-graveyard-matter'],[]
aesthetic-counter,aesthetic counter,"Counters that have no rules meaning, just aesthetic.",32,0,[],[]
aesthetic-counter,aesthetic counter,"Counters that have no rules meaning, just aesthetic.",32,0,[],[]
faux-targeting,faux targeting,,32,0,[],[]
restricted-attacker,restricted attacker,,32,1,[],[]
threshold,threshold,Cards that care about you having seven or more cards in your graveyard.,33,0,['cards-in-graveyard-matter'],[]
grants-flashback,grants flashback,"Cards which let you re-cast an instant or sorcery out of a graveyard, whether for free or by paying its costs. Includes cards that don't actually grant the exact flashback effect.",34,0,[],[]
tribal-dragon,tribal-dragon,,34,0,"['typal', 'typal-creature']",[]
portmanteau,portmanteau,Cards named with a portmanteau—a word that's a combination of two words.,35,0,['card-names'],[]
tribal-elf,tribal-elf,,35,0,"['typal', 'typal-creature']",[]
40k-model,40k model,,37,0,[],[]
40k-model,40k model,,37,0,[],[]
discard-matters,discard matters,,37,0,[],[]
swap-removal,swap removal,Sorry I messed up your stuff. Here's a thing in exchange. (See also [humble](/tags/card/humble).),37,0,[],[]
tribal-goblin,tribal-goblin,,37,0,"['typal', 'typal-creature']",[]
tutor-card,tutor-card,Cards that tutor any cards.,37,0,['tutor'],[]
synergy-vehicle,synergy-vehicle,,38,0,[],[]
turn-face-up-trigger-self,turn-face-up-trigger-self,,38,0,['face-up-face-down-effects'],[]
untapper-artifact,untapper-artifact,,38,0,[],[]
consult-cast,consult-cast,Consult effects that let you cast the card you find.,39,0,"['card-advantage', 'consult']",[]
reanimate-land,reanimate-land,,39,0,"['recursion', 'reanimate', 'recursion-land']",[]
restricted-blocker,restricted blocker,,39,0,[],[]
synergy-forest,synergy-forest,,40,0,[],[]
tribal-warrior,tribal-warrior,,40,0,"['typal', 'typal-creature']",[]
flowstone,flowstone,Abilities that grant +N/-N and/or -N/+N,41,4,[],[]
keyword-counter,keyword counter,A collection of all the keyword counters referenced by cards.,41,0,[],[]
tome,tome,,41,0,[],[]
tribal-wizard,tribal-wizard,,41,0,"['typal', 'typal-creature']",[]
graveyard-fuel-self,graveyard fuel-self,,42,0,[],[]
humble,humble,Nerf a creature's stats and abilities as a form of removal. See also [shapechange](/tags/card/shapechange).,42,2,[],[]
minigame,minigame,,42,6,[],[]
hate-white,hate-white,,43,0,['hate-color'],[]
repeatable-crime,repeatable crime,,43,1,[],[]
token-versions-of-cards,token versions of cards,"Some cards create tokens identical to existing cards (except for CMC). See: [cards creating these tokens](/tags/card/creates-token-of-a-card),  [printed tokens](/tags/card/token-version-of-a-card), and [the cards recreated in token form](/tags/card/has-identical-token).",43,9,[],[]
tribal-sliver,tribal-sliver,,43,0,"['typal', 'typal-creature']",[]
impulse-creature,impulse-creature,,44,0,"['card-advantage', 'impulse']",[]
rescue-land,rescue-land,,44,0,"['bounce', 'rescue']",[]
threaten,threaten,Gain control of a permanent until end of turn. For continuous theft see [theft-creature](/tags/card/theft-creature).,44,0,"['control-changing-effects', 'theft']",[]
aikido,aikido,Effects that turn your opponent's strength against them.,45,0,[],[]
aikido,aikido,Effects that turn your opponent's strength against them.,45,0,[],[]
animate-land,animate land,Cards that can turn other noncreature lands into creatures.,45,0,"['type-change', 'animate']",[]
animate-land,animate land,Cards that can turn other noncreature lands into creatures.,45,0,"['type-change', 'animate']",[]
gains-haste,gains haste,,46,0,[],[]
cast-trigger-other,cast trigger-other,,47,0,['cast-trigger'],[]
titan-trigger,titan trigger,"An ability that triggers on both entering the battlefield and attacking, similar to the Titan cycle from M11",47,0,['attack-trigger'],[]
charm,charm,Modal spells where you pick one option out of three,48,0,['modal'],[]
gains-indestructible,gains indestructible,,48,2,[],[]
tutor-cmc,tutor-cmc,Cards that tutor cards with a certain converted mana cost.,48,0,['tutor'],[]
unprinted-token,unprinted token,,48,1,[],[]
sweeper-creature-toughness,sweeper-creature-toughness,,49,1,[],[]
tribal-zombie,tribal-zombie,,49,0,"['typal', 'typal-creature']",[]
extra-land,extra land,Effects that allow you to put additional lands from your hand onto the battlefield outside of your normal once-per-turn land play.,50,0,['ramp'],[]
morbid,morbid,Cards that care if a creature died this turn.,51,1,[],[]
removal-creature-fight,removal-creature-fight,,51,0,"['removal-creature-burn', 'removal', 'removal-creature', 'removal-creature-burn']",[]
tapper-artifact,tapper-artifact,,51,0,[],[]
copy-self,copy-self,Cards that make a token topy of themselves,52,0,['copy'],[]
one-sided-fight,one-sided fight,"A creature deals damage equal to its power to another. Like Fight, but without the chance to fight back. See also [fling](/tags/card/fling) which involves sacrificing the creature.",52,0,"['removal-creature-burn', 'power-matters', 'removal', 'removal-creature', 'removal-creature-burn']",[]
tribal-spirit,tribal-spirit,,52,0,"['typal', 'typal-creature']",[]
giant-growth-with-set-mechanic,giant growth with set mechanic,,53,0,"['combat-trick', 'giant-growth', 'enlarge', 'giant-growth']",[]
gives-double-strike,gives double strike,,53,1,[],[]
jump,jump,A creature gains flying until end of turn.,53,0,['evasion'],[]
mill-exile,mill-exile,Exile cards from the top of a library.,53,0,['mill'],[]
poisonous,poisonous,"Makes, or is, a creature that poisons a player when it hits them.",53,0,['poison-mechanics'],[]
trigger-from-graveyard,trigger from graveyard,Abilities that trigger from inside the graveyard.,53,1,[],[]
gives-protection,gives protection,,55,0,[],[]
thoughtseize,thoughtseize,"Opponent reveals their hand, and you choose a card for them to discard.",55,0,['hand-disruption'],[]
face-commander,face-commander,,56,0,[],[]
hate-red,hate-red,,56,0,['hate-color'],[]
synergy-artifact-creature,synergy-artifact-creature,,56,0,[],[]
synergy-color-share,synergy-color-share,,57,1,[],[]
reanimate-cast,reanimate-cast,Cast a card from your graveyard.,58,0,"['recursion', 'reanimate']",[]
counterspell-soft,counterspell-soft,"A ""soft counterspell"" gives the other player a chance to buy off the counter, such as with a mana payment. See also [counterspell-hard](/tags/card/counterspell-hard)",59,0,"['blue-effect', 'counterspell']",[]
force-blocker,force blocker,,60,6,[],[]
gains-trample,gains trample,,60,1,[],[]
virtual-legendary,virtual legendary,"This card represents a one-of-a-kind creature or object, and could conceivably have been legendary. Usually cards are in this category because they were printed before legendary existed or have a mechanical need to not be legendary.",60,1,[],[]
tutored-by-name,tutored by name,These cards are tutored by another specifically by their name.,61,0,[],[]
energy-generator,energy generator,Cards that in some way give you energy counters.,62,0,[],[]
unique-counter,unique counter,These cards use a type of counter no other card does.,62,1,[],[]
hate-tapped,hate-tapped,,63,0,[],[]
copy-sorcery,copy-sorcery,,64,0,['copy'],[]
draw-matters,draw matters,,65,1,[],[]
gives-hexproof,gives hexproof,,65,0,[],[]
mulch,mulch,"An effect that filters cards at the top of the library, putting remainders into the graveyard.",65,0,"['card-advantage', 'mill', 'mill-self']",[]
reanimate-from-opponent,reanimate-from-opponent,,65,0,"['recursion', 'reanimate']",['reanimate-from-any']
reanimate-artifact,reanimate-artifact,,66,0,"['recursion', 'reanimate', 'recursion-artifact']",[]
alt-commander,alt-commander,,67,0,[],[]
alt-commander,alt-commander,,67,0,[],[]
copy-instant,copy-instant,,69,0,['copy'],[]
cycle-mono-land,cycle-mono-land,Monocolor land cycles.,69,0,"['cycle', 'cycle-land']",[]
hate-counterspell,hate-counterspell,,70,3,[],[]
life-loss-matters,life loss matters,,71,1,[],[]
mix-and-match,mix-and-match,Two or more non-evergreen mechanics blended together on the same card.,71,0,[],[]
rhyming-name,rhyming name,"Cards whose names contain a rhyme, or come very close to it.",72,0,['card-names'],[]
roll-d6,roll d6,🎲,72,0,['dice-roll'],[]
hand-disruption,hand disruption,,73,1,[],['thoughtseize']
gains-first-strike,gains first strike,,75,7,[],[]
gives-menace,gives menace,,76,0,"['evasion', 'gives-evasion']",[]
synergy-blue,synergy-blue,,76,1,[],[]
freeze-creature,freeze-creature,,77,0,['freeze'],[]
hate-black,hate-black,,77,0,['hate-color'],[]
manaless-value,manaless value,,77,1,[],[]
recursion-planeswalker,recursion-planeswalker,,77,0,['recursion'],['reanimate-planeswalker']
damage-prevention-you,damage prevention-you,,78,1,[],[]
damage-prevention-creature,damage prevention-creature,,80,0,[],[]
force-attacker,force attacker,,81,0,[],[]
prevent-attack,prevent attack,,81,1,[],[]
gives-deathtouch,gives deathtouch,,82,2,[],[]
untaps-self,untaps self,,83,1,[],[]
counterspell-with-set-mechanic,counterspell with set mechanic,,84,1,"['blue-effect', 'counterspell']",[]
sneak,sneak,Put a permanent from your hand onto the battlefield. (With or without a requirement to sacrifice it later.),84,0,['cost-ignorer'],[]
selective-group-hug,selective group hug,,86,0,['group-hug'],[]
graveyard-fuel-creature,graveyard fuel-creature,Exiles creatures from the graveyard for value,87,0,['graveyard-fuel'],[]
temporary-token,temporary token,,87,0,[],[]
gives-unblockable,gives unblockable,,89,0,['gives-evasion'],[]
donate-token,donate token,,90,1,[],[]
